Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
JAWA TENGAH,10377,10153,9929.71,9640,9618,9497,9296,8992
CILACAP,9896,9677,9350.81,9091,9071,8969,8801,8520
BANYUMAS,10713,10554,10104.41,9580,9561,9447,9241,8970
PURBALINGGA,9340,9159,8937.99,8539,8535,8450,8228,7930
BANJARNEGARA,8630,8400,7929.96,7684,7654,7570,7362,6931
KEBUMEN,8446,8276,8008.24,7755,7730,7638,7457,7368
PURWOREJO,9601,9497,9305.42,9189,9155,9022,8921,8619
WONOSOBO,9969,9877,9735.75,9491,9458,9404,9275,9032
MAGELANG,8627,8501,8181.89,7877,7856,7690,7458,7233
BOYOLALI,12262,12192,11806.22,11504,11490,11381,11147,10840
KLATEN,11369,11227,11177.84,10965,10962,10858,10593,10333
SUKOHARJO,10765,10452,10415.86,10264,10247,10112,9922,9639
WONOGIRI,8765,8589,8416.97,8249,8235,8133,7928,7557
KARANGANYAR,10933,10722,10486.19,10313,10286,10191,10023,9712
SRAGEN,12041,11688,11434.21,10876,10857,10698,10509,10164
GROBOGAN,9716,9487,9457.41,9303,9284,9208,8961,8674
BLORA,9065,8846,8699.49,8568,8540,8448,8246,7966
REMBANG,9736,9453,9122.18,9013,8994,8882,8705,8389
PATI,9813,9548,9379.51,9106,9088,8997,8828,8541
KUDUS,10639,10348,10202.84,10102,10082,9964,9747,9477
JEPARA,9745,9695,9503.76,9195,9177,8999,8821,8550
DEMAK,9544,9377,9117.79,9003,8983,8924,8728,8421
SEMARANG,11389,11102,10777.86,10586,10562,10459,10231,9930
TEMANGGUNG,8794,8593,8368.71,8062,8042,7952,7751,7438
KENDAL,10863,10631,10418.84,10126,10080,9910,9701,9358
BATANG,8805,8568,8244.32,8012,7967,7821,7610,7274
PEKALONGAN,9702,9300,9207.65,8938,8884,8752,8576,8403
PEMALANG,7785,7447,7177.47,6911,6863,6725,6488,6259
TEGAL,9136,8709,8366.55,8050,8001,7894,7713,7429
BREBES,9554,9148,8897.79,8784,8731,8592,8492,8393
KOTA MAGELANG,11525,11090,10793.3,10344,10258,10169,9922,9681
KOTA SURAKARTA,13986,13900,13604.4,12907,12820,12680,12464,12123
KOTA SALATIGA,14921,14811,14599.7,14205,14125,13966,13727,13411
KOTA SEMARANG,14334,13909,13588.6,12802,12714,12488,12271,11987
KOTA PEKALONGAN,11800,11721,11253.06,11006,10922,10756,10560,10224
KOTA TEGAL,12283,11849,11748.2,11519,11416,11251,10965,10644
DI YOGYAKARTA,13521,13229,12684.24,12294,12261,12137,12115,12080
KULON PROGO,9277,8938,8687.81,8480,8468,8342,8330,8274
BANTUL,14995,14880,14320.1,13921,13902,13798,13778,13725
GUNUNG KIDUL,8788,8467,8336.07,8235,8202,8170,8138,8093
SLEMAN,15365,14921,14561.89,14170,14085,13916,13882,13848
KOTA YOGYAKARTA,18005,17770,17316.78,16755,16645,16498,16497,16462
JAWA TIMUR,10973,10715,10383.37,10012,9978,9797,9396,9002
PACITAN,8288,8048,7685.94,7656,7626,7496,7232,6775
PONOROGO,9107,8908,8654.4,8383,8354,8188,7849,7537
TRENGGALEK,9034,8829,8444.7,8417,8389,8249,7936,7584
TULUNGAGUNG,10114,9881,9533.72,9505,9477,9256,8929,8660
BLITAR,9828,9467,9272.39,9245,9217,9076,8726,8423
KEDIRI,10326,10140,9883.09,9633,9605,9449,9102,8791
MALANG,9356,9018,8844.68,8817,8788,8633,8300,7980
LUMAJANG,8503,8311,7921.21,7895,7869,7772,7467,7116
JEMBER,8698,8409,8255.28,8227,8198,8069,7732,7380
BANYUWANGI,11438,11171,10691.79,10379,10341,10118,9741,9262
BONDOWOSO,10086,10007,9518.93,9176,9138,8856,8418,8064
SITUBONDO,9178,9106,8676.63,8383,8351,8174,7812,7442
PROBOLINGGO,10239,10170,9976.33,9877,9847,9721,9359,9004
PASURUAN,9556,9198,8706.84,8293,8261,8075,7661,7343
SIDOARJO,13710,13320,12878.57,12632,12602,12457,12095,11717
MOJOKERTO,12240,11798,11559.5,11208,11171,10915,10552,10099
JOMBANG,10560,10237,9963.25,9709,9678,9493,9112,8788
NGANJUK,11560,11451,10994.82,10754,10717,10656,10100,9663
MADIUN,11012,10904,10710.22,10667,10625,10429,9995,9416
MAGETAN,11288,10988,10593.73,10539,10484,10375,9635,8961
NGAWI,10899,10810,10583.86,10143,10105,9905,9388,9003
BOJONEGORO,9553,9420,8993.21,8964,8934,8809,8413,8087
TUBAN,9540,9353,8940.49,8906,8872,8706,8332,7898
LAMONGAN,10664,10252,9821.5,9545,9511,9386,8966,8553
GRESIK,12375,11961,11548.08,11514,11480,11360,10926,10491
BANGKALAN,8192,8030,7667.19,7459,7434,7316,7006,6709
SAMPANG,8352,8096,7826.56,7798,7769,7692,7337,6952
PAMEKASAN,8311,7975,7678.96,7478,7445,7260,6922,6532
SUMENEP,8316,7846,7577.27,7143,7093,6834,6524,5746
KOTA KEDIRI,11550,11070,10732.97,10702,10670,10432,10098,9765
KOTA BLITAR,12910,12499,12258.15,11672,11641,11534,11071,10756
KOTA MALANG,15939,15732,15419.88,15399,15378,15287,15015,14754
KOTA PROBOLINGGO,11390,10792,10557.66,10182,10089,9864,9387,8894
KOTA PASURUAN,12557,12295,11962.52,11527,11484,11184,10705,10237
KOTA MOJOKERTO,12804,12449,12060.5,11689,11625,11191,10762,10371
KOTA MADIUN,15415,15300,14723,14643,14604,14317,13799,13455
KOTA SURABAYA,16726,16295,15991.04,15492,15488,15104,14777,14473
KOTA BATU,12057,11772,11274.41,10853,10803,10667,9980,9395
BANTEN,11659,11469,11261.48,11150,11061,11008,10933,10777
PANDEGLANG,8358,8138,7730.25,7589,7486,7426,7395,7335
LEBAK,8372,8308,8111.49,7977,7918,7859,7819,7779
TANGERANG,11914,11863,11726.88,11666,11648,11640,11631,11622
SERANG,10466,10317,10003.84,9886,9831,9777,9722,9668
KOTA TANGERANG,14104,13911,13765.72,13671,13531,13515,13500,13485
KOTA CILEGON,12562,12326,12126.7,12057,11920,11852,11784,11716
KOTA SERANG,12914,12660,12289.43,12091,11950,11880,11834,11788
KOTA TANGERANG SELATAN,15291,14972,14588.44,14361,14207,14131,14037,-
BALI,13573,13279,13078.34,12831,12738,12530,12307,12074
JEMBRANA,11468,11343,11168.38,10944,10890,10676,10499,10293
TABANAN,13923,13800,13665.26,13492,13438,13266,13056,12831
BADUNG,17063,16567,16408.91,16080,16025,15795,15508,15243
GIANYAR,14222,13766,13578.12,13382,13318,13031,12761,12640
KLUNGKUNG,11005,10852,10711,10501,10488,10358,10129,10006
BANGLI,10956,10819,10649.21,10469,10424,10341,10113,9797
KARANG ASEM,9833,9690,9555.87,9402,9341,9128,9058,8822
BULELENG,12995,12814,12586.72,12249,12187,11946,11693,11451
KOTA DENPASAR,19364,19084,18849.41,18605,18532,18227,17944,17675
NUSA TENGGARA BARAT,9877,9575,9241.31,8987,8950,8853,8759,8707
LOMBOK BARAT,11048,10924,10588.07,10470,10450,10250,10029,10010
LOMBOK TENGAH,9319,9079,8845.81,8652,8605,8567,8530,8464
LOMBOK TIMUR,8805,8449,8100,7750,7685,7652,7580,7575
SUMBAWA,8584,8070,7742.93,7519,7422,7299,7177,7138
DOMPU,8351,7819,7478.83,7239,7204,7169,7106,7102
BIMA,8006,7585,7370.97,7198,7184,7171,7157,7144
SUMBAWA BARAT,11066,10528,10234.09,9922,9886,9815,9744,9677
LOMBOK UTARA,8637,8155,7939.78,7594,7358,7304,7169,7083
KOTA MATARAM,14316,13733,13398.68,13021,12748,12380,12053,11800
KOTA BIMA,10458,9930,9594.09,9352,9270,9142,9038,8959
NUSA TENGGARA TIMUR,7350,7122,7003.35,6934,6899,6785,6678,6615
SUMBA BARAT,6997,6914,6776.19,6714,6672,6478,6358,6174
SUMBA TIMUR,9093,9004,8882.64,8808,8744,8510,8350,8128
